Time,open,high,low,close,volume
2021-06-07,0.89932,0.90103,0.89675,0.89774,97241.87004
2021-06-08,0.89775,0.89894,0.89519,0.89695,109695.03002
2021-06-09,0.89694,0.89718,0.89263,0.89589,72731.12001
2021-06-10,0.89589,0.89934,0.89406,0.89461,115829.19
2021-06-11,0.89461,0.90002,0.89329,0.89796,87948.75001
2021-06-13,0.89861,0.89898,0.89781,0.89787,5794.82002
2021-06-14,0.89789,0.90016,0.89788,0.89939,83832.32
2021-06-15,0.89938,0.90078,0.89656,0.8986,85738.80001
2021-06-16,0.89861,0.90911,0.89774,0.90872,132796.96001
2021-06-17,0.90872,0.91881,0.90759,0.9177,169449.74999
2021-06-18,0.9177,0.92391,0.91687,0.92302,165988.29003
2021-06-20,0.92244,0.92312,0.92205,0.92254,6574.16
2021-06-21,0.92255,0.9237,0.91755,0.91868,138639.86002
2021-06-22,0.91869,0.92129,0.91732,0.91867,124592.75005
2021-06-23,0.91866,0.91999,0.91542,0.91826,111623.12
2021-06-24,0.91826,0.92002,0.91739,0.91818,115736.39002
2021-06-25,0.91817,0.91827,0.91426,0.91735,100974.98004
2021-06-27,0.91801,0.91819,0.91669,0.9167,13480.99004
2021-06-28,0.9167,0.92147,0.9167,0.91965,103293.87007
2021-06-29,0.91964,0.92331,0.91898,0.92095,101286.99002
2021-06-30,0.92097,0.92622,0.92063,0.92512,128940.85
2021-07-01,0.92511,0.92717,0.92361,0.92595,140864.37011
2021-07-02,0.92594,0.92746,0.92003,0.92065,139400.67001
2021-07-04,0.92171,0.92184,0.92078,0.92179,12904.36002
2021-07-05,0.92179,0.92327,0.9204,0.92229,86634.74003
2021-07-06,0.92231,0.92514,0.91937,0.92475,149629.10012
2021-07-07,0.92475,0.92678,0.92229,0.92573,141007.22006
2021-07-08,0.92573,0.92613,0.91334,0.9148,161287.27
2021-07-09,0.9148,0.91752,0.91361,0.91446,107290.47
2021-07-11,0.91475,0.9155,0.9139,0.91411,4975.85999
2021-07-12,0.91411,0.91711,0.91321,0.91508,107866.74004
2021-07-13,0.91507,0.92007,0.91433,0.91895,142714.62004
2021-07-14,0.91895,0.91988,0.91421,0.91478,128468.23001
2021-07-15,0.91476,0.91932,0.91178,0.9179,124636.87998
2021-07-16,0.91789,0.92037,0.91743,0.9194,107388.59
2021-07-18,0.91956,0.9201,0.91849,0.9186,3787.35
2021-07-19,0.91861,0.92219,0.9163,0.91876,137289.77006
2021-07-20,0.91877,0.92329,0.9173,0.92127,135439.18001
2021-07-21,0.92126,0.92313,0.91698,0.91773,109114.77004
2021-07-22,0.91773,0.92019,0.9155,0.91915,141044.15003
2021-07-23,0.91914,0.92222,0.91866,0.91942,90956.90003
2021-07-25,0.91918,0.92046,0.91918,0.91961,5136.53998
2021-07-26,0.91958,0.92024,0.91487,0.91559,113547.73997
2021-07-27,0.91559,0.91865,0.91294,0.91446,112459.46002
2021-07-28,0.91443,0.91675,0.90976,0.90979,122113.49002
2021-07-29,0.90976,0.91008,0.90538,0.90579,93725.57
2021-07-30,0.90579,0.90756,0.90396,0.90538,99853.17
2021-08-01,0.90549,0.90631,0.90537,0.90597,2236.2200000000003
2021-08-02,0.90599,0.90675,0.90377,0.90532,90438.40007
2021-08-03,0.90532,0.90576,0.90231,0.90386,100561.74007
2021-08-04,0.90387,0.90762,0.90185,0.90664,91879.79
2021-08-05,0.90663,0.9078,0.90515,0.90669,85333.1
